row_id,company_id,company_name,industry,country,employee_count,annual_revenue_usd,invoice_id,invoice_date,due_date,invoice_amount_usd,status,contact_name,contact_email,address,notes
1,CMP-100000,Global Dynamics LLC,Manufacturing,JP,7329,122533.69302682937,INV-387837,2025/08/11,2025-09-10,3126.85,refunded,L. Kim,ops0000@example.org,3896 Sunset St,PO attached
2,CMP-100001,Prime Works LLC,Logistics,FR,10036,2407418.553528207,INV-394016,2025/11/28,2025-12-16,83896.72,overdue,K. Garcia,ops0001@example.org,5219 Maple St,PO attached
3,CMP-100002,Union Energy LLC,Healthcare,IN,9433,60013.841795902306,INV-652732,2025/10/16,2025-12-07,"3,316.82",pending,M. Nguyen,ops0002@example.org,7101 Main St,check signature ???
4,CMP-100003,Global Dynamics LLC,Retail,IN,10605,480986.2524929378,INV-325897,2025/07/16,08/04/2025,64393.66,refunded,J. Patel,ops0003@example.org,6829 Main St,urgent follow-up
5,CMP-100004,Global Energy LLC,Retail,KR,302,3371488.4846830345,INV-385932,2025-12-09,2026-01-09,113144.52,Paid,L. Kim,ops0004@example.org,5679 Main St,acct moved to new owner
6,CMP-100005,Global Dynamics LLC,FinTech,IN,8601,1144816.805998827,INV-251522,2025/08/29,2025/10/08,41492.53,overdue,K. Garcia,ops0005@example.org,640 Maple St,check signature ???
6-dup,CMP-100005,Global Dynamics LLC,FinTech,IN,8601,1144816.805998827,INV-251522,2025/08/29,2025/10/08,41492.53,overdue,K. Garcia,ops0005@example.org,640 Maple St,check signature ??? / duplicate from email chain
7,CMP-100006,North Works LLC,Construction,BR,11479,2096306.723993032,INV-572431,16-Sep-2025,03-Oct-2025, 101697.38 ,paid,J. Patel,ops0006@example.org,7521 Maple St,manual override
8,CMP-100007,Delta Foods LLC,Energy,JP,8357,3597110.049114226,INV-998685,2025-08-16,N/A,100695,refunded,K. Nguyen,ops0007@example.org,3221 Pine St,check signature ???
8-dup,CMP-100007,Delta Foods LLC,Energy,JP,8357,3597110.049114226,INV-998685,2025-08-16,N/A,100695,refunded,K. Nguyen,ops0007@example.org,3221 Pine St,check signature ??? / duplicate from email chain
9,CMP-100008,North Dynamics LLC,Logistics,BR,8306,226260.4589978995,INV-527793,2026/01/19,04-Feb-2026,13875.3,overdue,J. Nguyen / J. Nguyen,ops0008@example.org,1191 Maple St,PO attached
10,CMP-100009,North Foods LLC,Logistics,KR,N/A,2181118.145520794,INV-346560,2025/09/21,07-Oct-2025,112433.38,PAID,L. Patel,ops0009@example.org,2718 Pine St,check signature ???
11,CMP-100010,Union Foods LLC,Healthcare,JP,1860,1281011.1528191785,INV-338642,2025/09/10,2025/10/10,98484.44,refunded,L. Patel,ops0010@example.org,8365 Pine St,PO attached
12,CMP-100011,Global Energy LLC,Retail,FR,1308,2197716.401609584,INV-814800,02/07/2026,23-Mar-2026,90516,void,M. Brown,ops0011@example.org,2150 Main St,received via fax
13,CMP-100012,Prime Energy LLC,Software,IN,4435, 2561562.34 ,INV-590815,2025-09-07,10/06/2025,77317.19,overdue,J. Nguyen,ops0012@example.org,4033 Maple St,manual override
14,CMP-100013,Prime Energy LLC,Construction,JP,1677,542242.6440771294,INV-371515,01/05/2026,2026-02-03,47709.25,overdue,L. Kim,ops0013@example.org,244 Maple St,acct moved to new owner !!!
15,CMP-100014,North Energy LLC,Telecom,BR,10449,3946506.6911251927,INV-632852,27-Sep-2025,2025/10/26,101718.02,paid,J. Brown,ops0014@example.org,1245 Main St,check signature ???
16,CMP-100015,Prime Energy LLC,Construction,KR,,242379.2753699614,INV-578055,2025-10-17,2025/12/03,11864.79,PAID,J. Patel,ops0015@example.org,7363 Main St,check signature ???
17,CMP-100016,Global Works LLC,unknown,FR,1860,48478.432212293046,INV-285514,2025/08/18,09/06/2025,"USD 2,621.82",pending,M. Garcia,ops0016@example.org,4690 Sunset St,check signature ???
18,CMP-100017,Global Dynamics LLC,Retail,FR,5736,408877.2718710813,INV-453893,2025/07/14,2025/08/29,"$14,418.01",paid,K. Brown,ops0017@example.org,6890 Maple St,acct moved to new owner !!!
19,CMP-100018,Global Systems LLC,Retail,CA,3662,2516565.1769968993,INV-438630,2025-12-27,2026/02/05,66781.5,refunded,K. Patel,ops0018@example.org,5332 Sunset St,unknown
20,CMP-100019,North Works LLC,FinTech,BR,4331,492406.45500101644,INV-582805,01/18/2026,02/17/2026,21220.44,pending ,K. Kim,ops0019@example.org,1005 Pine St,acct moved to new owner
21,CMP-100020,North Works LLC,FinTech,DE,,1638602.1737177449,INV-345267,2025-10-05,15-Nov-2025,61993.52,paid,J. Garcia,ops0020@example.org,5948 Pine St,manual override
22,CMP-100021,Delta Energy LLC,FinTech,MX,4718,1622366.178386868,INV-651651,2026-01-12,18-Feb-2026,115948.15,void,K. Kim,ops0021@example.org,8174 Maple St,received via fax
23,CMP-100022,Union Works LLC,Energy,KR,7219,1043533.4030533182,INV-699204,12-Aug-2025,2025/09/30,73239.01,pending ,M. Nguyen,ops0022@example.org,9832 Pine St,received via fax
24,CMP-100023,Delta Dynamics LLC,FinTech,US,4588,1560031.504535488,INV-420401,16-Jul-2025,08/30/2025,8.22e+04,paid,K. Garcia,ops0023@example.org,5791 Pine St,urgent follow-up
25,CMP-100024,Union Works LLC,Healthcare,US,1986,2487380.966029107,INV-946021,11/14/2025,12/03/2025,70250.91,refunded,J. Garcia,ops0024@example.org,5542 Maple St,check signature ??? !!!
26,CMP-100025,Glbal Works LLC,Healthcare,MX,4455, 1312219.26 ,INV-819116,10/06/2025,2025/11/29,48060,overdue,K. Kim,ops0025@example.org,4918 Sunset St,urgent follow-up
27,CMP-100026,North Dynamics LLC,Healthcare,MX,4192,2398665.244372484,INV-812237,12-Jan-2026,2026/03/03,"$70,482.58",void?,M. Brown,ops0026@example.org,4515 Pine St,see thread #A12
28,CMP-100027,Prime Energy LLC,Construction,US,10436,2057496,INV-635055,2025-07-30,2025/09/04,91279.46,refunded,K. Patel,ops0027@example.org,3325 Maple St,manual override
29,CMP-100028,Delta Dynamics LLC,Construction,US,2709,4372031.7056941455,INV-465317,2025/11/19,2025-12-18,116044.77,void?,M. Garcia,ops0028@example.org,3919 Pine St,see thread #A12
30,CMP-100029,Union Systems LLC,Retail,MX,11418,57198.674942982914,INV-595856,2025-10-02,2025-11-14,7643.26,void,M. Patel,ops0029@example.org,5478 Main St,urgent follow-up (unclear)
31,CMP-100030,Prime Energy LLC,Manufacturing,CA,8248,"454,883.00",INV-875229,2026/02/07,N/A,21474.65,void,L. Brown,ops0030@example.org,2280 Pine St,see thread #A12 (unclear)
32,CMP-100031,North Systems LLC,Healthcare,MX,10296,486811.69179628283,INV-469052,2025-10-10,07-Dec-2025,14362.82,refunded,M. Patel,ops0031@example.org,9837 Pine St,PO attached
33,CMP-100032,Prime Foods LLC,Manufacturing,US,2559,1701200.5942740135,INV-355528,2025-12-21,01/16/2026,74013.84,overdue,J. Nguyen,ops0032@example.org,1622 Main St,PO attached
34,CMP-100033,Delta Energy LLC,Manufacturing,MX,11593,93928.52594764926,INV-992059,15-Jul-2025,2025-08-11,2866.53,overdue,L. Brown,ops0033@example.org,4085 Pine St,invoice scan low quality
35,CMP-100034,North Works LLC,FinTech,US,374,380482.9659245537,INV-512007,2025-08-31,2025-09-29,"19,567.99",void,L. Patel,ops0034@example.org,2361 Main St,check signature ???
